,material_id,material_name,current,unit,jan,feb,mar,apr,may,jun,jul
2948,0515020200300000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/2 นิ้ว,20.44,อัน ,21.01,21.01,21.01,21.01,20.44,20.44,20.44
2949,0515020200400000,    ขนาดเส้นผ่านศูนย์กลาง 2 นิ้ว,31.92,อัน ,32.82,32.82,32.82,32.82,31.92,31.92,31.92
2950,0515020300000000, ข้อโค้ง 45 องศาท่อร้อยสายไฟฟ้าและสายโทรศัพท์พีวีซี,x,x,x,x,x,x,x,x,x
2951,0515020300100000,    ขนาดเส้นผ่านศูนย์กลาง 1 นิ้ว,11.81,อัน ,12.1,12.1,12.1,12.1,11.81,11.81,11.81
2952,0515020300200000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/4 นิ้ว,17.26,อัน ,17.69,17.69,17.69,17.69,17.26,17.26,17.26
2953,0515020300300000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/2 นิ้ว,24.83,อัน ,25.44,25.44,25.44,25.44,24.83,24.83,24.83
2954,0515020300400000,    ขนาดเส้นผ่านศูนย์กลาง 2 นิ้ว,42.7,อัน ,43.75,43.75,43.75,43.75,42.7,42.7,42.7
2955,0515020300500000,    ขนาดเส้นผ่านศูนย์กลาง 2 1/2 นิ้ว,82.51,อัน ,84.55,84.55,84.55,84.55,82.51,82.51,82.51
2956,0515020300600000,    ขนาดเส้นผ่านศูนย์กลาง 3 นิ้ว,150.64,อัน ,154.36,154.36,154.36,154.36,150.64,150.64,150.64
2957,0515020300700000,    ขนาดเส้นผ่านศูนย์กลาง 4 นิ้ว,241.49,อัน ,247.45,247.45,247.45,247.45,241.49,241.49,241.49
2958,0515020400000000, ข้อโค้ง 90 องศาท่อร้อยสายไฟฟ้าและสายโทรศัพท์พีวีซี,x,x,x,x,x,x,x,x,x
2959,0515020400100000,    ขนาดเส้นผ่านศูนย์กลาง 1 นิ้ว,13.63,อัน ,13.96,13.96,13.96,13.96,13.63,13.63,13.63
2960,0515020400200000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/4 นิ้ว,21.8,อัน ,22.34,22.34,22.34,22.34,21.8,21.8,21.8
2961,0515020400300000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/2 นิ้ว,29.98,อัน ,30.72,30.72,30.72,30.72,29.98,29.98,29.98
2962,0515020400400000,    ขนาดเส้นผ่านศูนย์กลาง 2 นิ้ว,53.6,อัน ,57.92,57.92,57.92,57.92,53.6,53.6,53.6
2963,0515020400500000,    ขนาดเส้นผ่านศูนย์กลาง 2 1/2 นิ้ว,88.95,อัน ,91.14,91.14,91.14,91.14,88.95,88.95,88.95
2964,0515020400600000,    ขนาดเส้นผ่านศูนย์กลาง 3 นิ้ว,190.77,อัน ,195.48,195.48,195.48,195.48,190.77,190.77,190.77
2965,0515020400700000,    ขนาดเส้นผ่านศูนย์กลาง 4 นิ้ว,308.86,อัน ,316.49,316.49,316.49,316.49,308.86,308.86,308.86
2966,0516000000000000,ท่อเหล็กร้อยสายไฟ,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
2967,0516020000000000, ท่อเหล็กร้อยสายไฟ ชนิดหนา RSC,x,x,x,x,x,x,x,x,x
2968,0516020100100000,    ขนาดเส้นผ่านศูนย์กลาง 1/2 นิ้ว ยาว 3 เมตร,239.4,ท่อน ,239.4,239.4,239.4,239.4,239.4,239.4,239.4
2969,0516020100200000,    ขนาดเส้นผ่านศูนย์กลาง 3/4 นิ้ว ยาว 3 เมตร,305.2,ท่อน ,305.2,305.2,305.2,305.2,305.2,305.2,305.2
2970,0516020100300000,    ขนาดเส้นผ่านศูนย์กลาง 1 นิ้ว ยาว 3 เมตร,448.7,ท่อน ,448.7,448.7,448.7,448.7,448.7,448.7,448.7
2971,0516020100400000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/4 นิ้ว ยาว 3 เมตร,579.6,ท่อน ,579.6,579.6,579.6,579.6,579.6,579.6,579.6
2972,0516020100500000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/2 นิ้ว ยาว 3 เมตร,685.77,ท่อน ,685.77,685.77,685.77,685.77,685.77,685.77,685.77
2973,0516020100600000,    ขนาดเส้นผ่านศูนย์กลาง 2 นิ้ว ยาว 3 เมตร,916.29,ท่อน ,916.29,916.29,916.29,916.29,916.29,916.29,916.29
2974,0516030000000000, ท่อเหล็กร้อยสายไฟ ชนิดหนา IMC,x,x,x,x,x,x,x,x,x
2975,0516030100100000,    ขนาดเส้นผ่านศูนย์กลาง 1/2 นิ้ว ยาว 3 เมตร,197.4,ท่อน ,197.4,197.4,197.4,197.4,197.4,197.4,197.4
2976,0516030100200000,    ขนาดเส้นผ่านศูนย์กลาง 3/4 นิ้ว ยาว 3 เมตร,262.43,ท่อน ,262.43,262.43,262.43,262.43,262.43,262.43,262.43
2977,0516030100300000,    ขนาดเส้นผ่านศูนย์กลาง 1 นิ้ว ยาว 3 เมตร,354.2,ท่อน ,354.2,354.2,354.2,354.2,354.2,354.2,354.2
